"Ref","Value","LCSC","Footprint","Qty","Description"
"U_ESP","ESP32-S3-WROOM-1-N16R8","C2913202","evc:ESP32-S3-WROOM-1","1","WiFi/BT SoC module, 16MB flash, 8MB PSRAM"
"U_BQ","BQ25895RTWT","C2861263","evc:BQ25895RTWT","1","Li-Ion charger + power path, I2C, QFN-24"
"U_HUSB","HUSB238_002D","C7471904","evc:HUSB238_002D","1","USB-C PD sink negotiator, 5V/3A profile"
"U_OR","LTC4413","~","evc:LTC4413","1","Dual ideal-diode OR gate, SOT-23-6 — check LCSC stock"
"U_LDO","AMS1117-3.3","C6186","evc:AMS1117-3.3","1","3.3V 1A LDO regulator, SOT-223"
"U_ATM","ATM90E32AS","C784945","evc:ATM90E32AS","1","3-phase energy metering IC, SPI, QFN-36"
"RL1","SRD-05VDC-SL-C","C35449","evc:SRD-05VDC-SL-C","1","5V relay, CP fail-safe interlock (NC default)"
"ISO1","PC817C","C6747","evc:PC817C","1","Optocoupler, galvanic isolation for K1 driver"
"Q1","IRLZ44NPBF","C9078","evc:IRLZ44NPBF","1","Logic-level N-MOSFET TO-220, K1 coil driver"
"PS1","HLK-5M05","C434569","evc:HLK-5M05","1","AC/DC 5V 1W isolated module (mains-powered)"
"BT1","18650 Cell","C5165920","evc:Battery18650","1","18650 PCB cell holder (backup power)"
"J_USBC","USB-C 16P","C2765186","evc:USBC-16P","1","USB-C receptacle, HUSB238 PD input"
"J1","KF301-5P","C3033","evc:KF301-5P","1","Type 2 wallbox input connector (PE,N,L,CP,PP)"
"J2","KF301-5P","C3033","evc:KF301-5P","1","Type 2 car output connector (PE,N,L,CP,PP)"
"J_K1","KF301-2P","C3030","evc:KF301-2P","1","Contactor coil terminal (Schneider LC1K40 A1/A2)"
"J_CT","KF301-2P","C3030","evc:KF301-2P","1","SCT-013-030 CT clamp input"
"J_SW1","PinHeader 2x3","C124378","evc:PinHeader_2x3","1","16mm IP67 illuminated latch button header"
"D1","BZX55C3V3","C8678","evc:BZX55C3V3","1","3.3V Zener clamp for CP ADC"
"D2","1N4007","C76625","evc:1N4007","1","Flyback diode for K1 contactor coil"
"R1","100kΩ 1% 0402","C17900","evc:R_0402","1","CP voltage divider upper"
"R2","47kΩ 1% 0402","C17927","evc:R_0402","1","CP voltage divider lower"
"R3,R4","470kΩ 0402","C25741","evc:R_0402","2","AC voltage divider for ATM90E32 VA pin"
"R_PP","2.7kΩ 0402","C25879","evc:R_0402","1","Proximity pilot 32A termination"
"R_EN,R_BOOT,R_ILIM","10kΩ 0402","C25804","evc:R_0402","3","EN/BOOT pullup, ILIM resistor"
"R_ISO","100Ω 0402","C25804","evc:R_0402","1","ISO1 LED current limit (~22mA from 3V3)"
"R_LR,R_LG,R_LB","33Ω 0402","C25105","evc:R_0402","3","LED current limit (~50mA from 3.3V)"
"C1,C4","100nF 50V 0402","C14663","evc:C_0402","2","Decoupling caps VCC33/VSYS"
"C2,C3,C5","10µF 25V 0805","C19702","evc:C_0805","3","Bulk decoupling VCC33/VSYS/BAT"
